### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR LOCALIZATION ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark,x,y,z
D',1,Left Entorhinal,Left Entorhinal,GM,,,,,
D',2,Left Entorhinal,Left Entorhinal,GM,,,,,
D',3,Left Entorhinal,Left Entorhinal,GM,,,,,
D',4,Left Entorhinal,,WM,,,,,
D',5,Left Entorhinal,,WM,,,,,
D',6,Left Entorhinal,,WM,,,,,
D',7,Left Entorhinal,Left MFG,GM,,,,,
D',8,Left Entorhinal,Left MFG,GM,,,,,
D',9,Left Entorhinal,Left MFG,GM,,,,,
D',10,Left Entorhinal,Left MFG,GM,,,,,
D',11,Left Entorhinal,Left MFG,GM,,,,,
U',1,Left Anterior Hippocampus,L SMG,GM/WM,,,,,
U',2,Left Anterior Hippocampus,L SMG,GM/WM,,,,,
U',3,Left Anterior Hippocampus,,WM,,,,,
U',4,Left Anterior Hippocampus,,WM,,,,,
U',5,Left Anterior Hippocampus,,WM,,,,,
U',6,Left Anterior Hippocampus,L SMG+L Hippocampus,GM/GM,,,,,
U',7,Left Anterior Hippocampus,L SMG+L Hippocampus,GM/GM,,,,,
U',8,Left Anterior Hippocampus,,OOB,,,,,
A',1,Left MFG,Left MFG,GM,,,,,
A',2,Left MFG,Left MFG,GM,,,,,
A',3,Left MFG,Left MFG,GM/WM,,,,,
A',4,Left MFG,Left MFG,WM,,,,,
A',5,Left MFG,Left MFG,WM,,,,,
A',6,Left MFG,Left MFG,OOB,,,,,
B',1,Left Amygdala,Left Amygdala,GM,,,,,
B',2,Left Amygdala,Left Amygdala,GM,,,,,
B',3,Left Amygdala,Left Amygdala,GM/WM,,,,,
B',4,Left Amygdala,Left Amygdala,WM,,,,,
B',5,Left Amygdala,Left Amygdala,WM,,,,,
B',6,Left Amygdala,Left Amygdala,OOB,,,,,
B',7,Left Amygdala,Left Amygdala,OOB,,,,,
B',8,Left Amygdala,Left Amygdala,OOB,,,,,
